day,state,brand,Meta,GAds,TikTok,Semana,Año,rql
2025-03-31,Aguascalientes,Bajaj,Aguascalientes,Aguascalientes,Aguascalientes,14,2025,3.0
2025-03-31,Baja California,Bajaj,Baja California,Baja California,Baja California,14,2025,1.0
2025-03-31,Baja California,Dinamo,Baja California,Baja California,Baja California,14,2025,1.0
2025-03-31,Baja California,Honda,Baja California,Baja California,Baja California,14,2025,2.0
2025-03-31,Baja California,Vento,Baja California,Baja California,Baja California,14,2025,1.0
2025-03-31,Baja California Sur,Bajaj,Baja California Sur,Baja California Sur,Baja California Sur,14,2025,1.0
2025-03-31,Campeche,Bajaj,Campeche,Campeche,Campeche,14,2025,1.0
2025-03-31,Campeche,Yamaha,Campeche,Campeche,Campeche,14,2025,1.0
2025-03-31,Chihuahua,Bajaj,Chihuahua,Chihuahua,Chihuahua,14,2025,2.0
2025-03-31,Colima,Bajaj,Colima,Colima,Colima,14,2025,3.0
2025-03-31,Colima,Suzuki,Colima,Colima,Colima,14,2025,1.0
2025-03-31,Durango,Vento,Durango,Durango,Durango,14,2025,1.0
2025-03-31,Guanajuato,Bajaj,Guanajuato,Guanajuato,Guanajuato,14,2025,6.0
2025-03-31,Guanajuato,Hero,Guanajuato,Guanajuato,Guanajuato,14,2025,2.0
2025-03-31,Guanajuato,Italika,Guanajuato,Guanajuato,Guanajuato,14,2025,1.0
2025-03-31,Guanajuato,TVS,Guanajuato,Guanajuato,Guanajuato,14,2025,1.0
2025-03-31,Guanajuato,Vento,Guanajuato,Guanajuato,Guanajuato,14,2025,2.0
2025-03-31,Guanajuato,Zmoto,Guanajuato,Guanajuato,Guanajuato,14,2025,1.0
2025-03-31,Guerrero,Bajaj,Guerrero,Guerrero,Guerrero,14,2025,4.0
2025-03-31,Guerrero,Honda,Guerrero,Guerrero,Guerrero,14,2025,2.0
2025-03-31,Guerrero,Italika,Guerrero,Guerrero,Guerrero,14,2025,1.0
2025-03-31,Guerrero,Kawasaki,Guerrero,Guerrero,Guerrero,14,2025,1.0
2025-03-31,Guerrero,Vento,Guerrero,Guerrero,Guerrero,14,2025,1.0
2025-03-31,Guerrero,Zmoto,Guerrero,Guerrero,Guerrero,14,2025,1.0
2025-03-31,Hidalgo,Bajaj,Hidalgo,Hidalgo,Hidalgo,14,2025,3.0
